"id","gene_id","synonym"
"809","5789","ApoE4"
"810","5789","LDLCQ5"
"811","5789","LPG"
"812","1827","B2G1"
"813","1827","B2GP1"
"814","1827","BG"
"815","7616","AAA"
"816","7616","ABETA"
"817","7616","ABPP"
"818","7616","AD1"
"819","7616","APPI"
"820","7616","CTFgamma"
"821","7616","CVAP"
"822","7616","PN-II"
"823","7616","PN2"
"824","7616","preA4"
"825","15345","AMP"
"826","15345","APRTD"
"827","7646","APS"
"828","7646","KLK2A1"
"829","7646","PSA"
"830","7646","hK3"
"831","434","ALPS1A"
"832","434","APO-1"
"833","434","APT1"
"834","434","CD95"
"835","434","FAS1"
"836","434","FASTM"
"837","434","TNFRSF6"
"838","4432","ALPS1B"
"839","4432","APT1LG1"
"840","4432","APTL"
"841","4432","CD178"
"842","4432","CD95-L"
"843","4432","CD95L"
"844","4432","FASL"
"845","4432","TNFSF6"
"846","4432","TNLG1A"
"847","8246","APXL"
"848","8246","HSAPXL"
"849","17448","AQP-CHIP"
"850","17448","CHIP28"
"851","17448","CO"
"852","11145","AQP-CD"
"853","11145","WCH-CD"
"854","10644","AQP-3"
"855","10644","GIL"
"856","12050","MIWC"
"857","12050","WCH4"
"858","9807","AQP-5"
"859","9807","PPKB"
"860","1595","AQP2L"
"861","1595","KID"
"862","2671","AQP-9"
"863","2671","HsT17287"
"864","2671","SSC1"
"865","2671","T17287"
"866","11489","AIS"
"867","11489","AR8"
"868","11489","DHTR"
"869","11489","HUMARA"
"870","11489","HYSP1"
"871","11489","KD"
"872","11489","NR3C4"
"873","11489","SBMA"
"874","11489","SMAX1"
"875","11489","TFM"
"876","1815","ABC34"
"877","1815","ARA"
"878","1815","EST349056"
"879","1815","GACI2"
"880","1815","MLP1"
"881","1815","MOAT-E"
"882","1815","MOATE"
"883","1815","MRP6"
"884","1815","PXE"
"885","1815","PXE1"
"886","1815","URG7"
"887","1332","A-RAF"
"888","1332","ARAF1"
"889","1332","PKS2"
"890","1332","RAFA1"
"891","1906","COPD"
"892","1906","SRMMD"
"893","3933","ARD1"
"894","3933","ARFD1"
"895","3933","RNF46"
"896","3421","AR"
"897","3421","AREGB"
"898","3421","CRDGF"
"899","3421","SDGF"
"900","7848","PVNH8"
"901","11340","ARF2"
"902","12688","ARF4L"
"903","12688","ARL6"
"904","43","-"
"905","10697","-"
"906","4521","-"
"907","1449","-"
"908","963","ARH12"
"909","963","ARHA"
"910","963","EDFAOB"
"911","963","RHO12"
"912","963","RHOH12"
"913","7873","ARH6"
"914","7873","ARHB"
"915","7873","MST081"
"916","7873","MSTP081"
"917","7873","RHOH6"
"918","9111","ARH9"
"919","9111","ARHC"
"920","9111","H9"
"921","9111","RHOH9"
"922","4224","ARHE"
"923","4224","Rho8"
"924","4224","RhoE"
"925","4224","memB"
"926","12852","ARHG"
"927","12587","CDC42GAP"
"928","12587","RHOGAP"
"929","12587","RHOGAP1"
"930","12587","p50rhoGAP"
"931","2253","GFI2"
"932","2253","RhoGAP5"
"933","2253","p190-B"
"934","2253","p190BRhoGAP"
"935","600","RHOGAP6"
"936","600","RHOGAPX-1"
"937","7541","GDIA1"
"938","7541","HEL-S-47e"
"939","7541","NPHS8"
"940","7541","RHOGDI"
"941","7541","RHOGDI-1"
"942","3637","D4"
"943","3637","GDIA2"
"944","3637","GDID4"
"945","3637","LYGDI"
"946","3637","Ly-GDI"
"947","3637","RAP1GN1"
"948","3637","RhoGDI2"
"949","17509","RHOGDI-3"
"950","11352","ARHH"
"951","11352","TTF"
"952","4775","ARFL1"
"953","10675","ARIX"
"954","10675","CFEOM2"
"955","10675","FEOM2"
"956","10675","NCAM2"
"957","10675","PMX2A"
"958","7074","ARFL3"
"959","7074","JBTS35"
"960","7074","RP83"
"961","7791","HIF-1-beta"
"962","7791","HIF-1beta"
"963","7791","HIF1-beta"
"964","7791","HIF1B"
"965","7791","HIF1BETA"
"966","7791","TANGO"
"967","7791","bHLHe2"
"968","6310","BMAL1"
"969","6310","BMAL1c"
"970","6310","JAP3"
"971","6310","MOP3"
"972","6310","PASD3"
"973","6310","TIC"
"974","6310","bHLHe5"
"975","4733","ARRX"
"976","4733","MYP26"
"977","4733","cArr"
"978","6937","ARB1"
"979","6937","ARR1"
"980","7531","ARB2"
"981","7531","ARR2"
"982","7531","BARR2"
"983","2118","ASA"
"984","2118","MLD"
"985","3891","ASB"
"986","3891","G4S"
"987","3891","MPS6"
"988","2426","ARSC"
"989","2426","ARSC1"
"990","2426","ASC"
"991","2426","ES"
"992","2426","SSDD"
"993","2426","XLI"
"994","152","ASD"
"995","9320","ARSE"
"996","9320","ASE"
"997","9320","CDPX"
"998","9320","CDPX1"
"999","9320","CDPXR"
"1000","800","ASF"
"1001","5745","ART2"
"1002","5745","ARTC1"
"1003","5745","CD296"
"1004","5745","RT6"
"1005","9194","ARTC3"
"1006","3634","ARTC4"
"1007","3634","CD297"
"1008","3634","DO"
"1009","3634","DO/ART4"
"1010","3634","DOK1"
"1011","2012","-"
"1012","2785","AC"
"1013","2785","ACDase"
"1014","2785","ASAH"
"1015","2785","PHP"
"1016","2785","PHP32"
"1017","2785","SMAPME"
"1018","7253","ASH1"
"1019","7253","HASH1"
"1020","7253","MASH1"
"1021","7253","bHLHa46"
"1022","13786","ASH2"
"1023","13786","HASH2"
"1024","13786","MASH2"
"1025","13786","bHLHa45"
"1026","7537","ASGPR"
"1027","7537","ASGPR1"
"1028","7537","CLEC4H1"
"1029","7537","HL-1"
"1030","9824","ASGP-R2"
"1031","9824","ASGPR2"
"1032","9824","CLEC4H2"
"1033","9824","HBXBP"
"1034","9824","HL-2"
"1035","2381","AGSW"
"1036","2381","AGTI"
"1037","2381","AGTIL"
"1038","2381","ASP"
"1039","2381","SHEP9"
"1040","14756","ASMTY"
"1041","14756","HIOMT"
"1042","14756","HIOMTY"
"1043","15170","ARSA-I"
"1044","15170","ARSA1"
"1045","15170","ASNA-I"
"1046","15170","ASNA1"
"1047","15170","TRC40"
"1048","3302","ACY2"
"1049","3302","ASP"
"1050","15171","AAH"
"1051","15171","BAH"
"1052","15171","CASQ2BP1"
"1053","15171","FDLAB"
"1054","15171","HAAH"
"1055","15171","JCTN"
"1056","15171","junctin"
"1057","5872","ASS"
"1058","5872","CTLN1"
"1059","8773","ASTN"
"1060","4442","AT3"
"1061","4442","AT3D"
"1062","4442","ATIII"
"1063","4442","ATIII-R2"
"1064","4442","ATIII-T1"
"1065","4442","ATIII-T2"
"1066","4442","THPH7"
"1067","7444","ATBF1"
"1068","7444","ATBT"
"1069","7444","C16orf47"
"1070","7444","ZFH-3"
"1071","7444","ZNF927"
"1072","5012","EWS-ATF1"
"1073","5012","FUS/ATF-1"
"1074","5012","TREB36"
"1075","9976","-"
"1076","7094","AICAR"
"1077","7094","AICARFT"
"1078","7094","HEL-S-70p"
"1079","7094","IMPCHASE"
"1080","7094","PURH"
"1081","8508","AT1"
"1082","8508","ATA"
"1083","8508","ATC"
"1084","8508","ATD"
"1085","8508","ATDC"
"1086","8508","ATE"
"1087","8508","TEL1"
"1088","8508","TELO1"
"1089","7657","ARG"
"1090","7657","ARP"
"1091","7657","ATN1L"
"1092","7657","DNB1"
"1093","7657","NEDBEH"
"1094","12110","ATH1"
"1095","12110","HATH1"
"1096","12110","MATH-1"
"1097","12110","bHLHa14"
"1098","12916","ATX1"
"1099","12916","HAH1"
"1100","10123","CMT2DD"
"1101","10123","HOMGSMR2"
"1102","366","FHM2"
"1103","366","MHP2"
"1104","1252","ATP1AL1"
"1105","1252","H-K-ATPase"
"1106","1252","HK"
"1107","6163","ATP1A1"
"1108","6163","ATP1AL2"
"1109","7720","ATP1B"
"1110","5700","AMOG"
"1111","1029","ATPB-3"
"1112","1029","CD298"
"1113","14720","ATP2A"
"1114","14720","SERCA1"
"1115","12457","ATP2B"
